Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
11602.391,0.0,0.0,0.0,0.0,0.0,0.3
11602.493,0.0,0.0,0.0,0.0,0.0,0.3
11602.596,0.0,0.0,0.0,0.0,0.0,0.3
11602.692,0.0,0.0,0.0,0.0,0.0,0.3
11602.801,0.0,0.0,0.0,0.0,0.0,0.3
11602.891,0.0,0.0,0.0,0.0,0.0,0.3
11602.993,0.0,0.0,0.0,0.0,0.0,0.3
11603.108,0.0,0.0,0.0,0.0,0.0,0.3
11603.191,0.0,0.0,0.0,0.0,0.0,0.3
11603.292,0.0,0.0,0.0,0.0,0.0,0.3
11603.391,0.0,0.0,0.0,0.0,0.0,0.3
11603.492,0.0,0.0,0.0,0.0,0.0,0.3
11603.59,0.0,0.0,0.0,0.0,0.0,0.3
11603.691,0.0,0.0,0.0,0.0,0.0,0.3
11603.791,0.0,0.0,0.0,0.0,0.0,0.3
11603.892,0.0,0.0,0.0,0.0,0.0,0.3
11603.996,0.0,0.0,0.0,0.0,0.0,0.3
11604.093,0.0,0.0,0.0,0.0,0.0,0.3
11604.192,0.0,0.0,0.0,0.0,0.0,0.3
11604.291,0.0,0.0,0.0,0.0,0.0,0.3
11604.391,0.0,0.0,0.0,0.0,0.0,0.3
11604.492,0.0,0.0,0.0,0.0,0.0,0.3
11604.591,0.0,0.0,0.0,0.0,0.0,0.3
11604.691,0.0,0.0,0.0,0.0,0.0,0.3
11604.792,0.0,0.0,0.0,0.0,0.0,0.3
11604.892,0.0,0.0,0.0,0.0,0.0,0.3
11604.996,0.0,0.0,0.0,0.0,0.0,0.3
11605.099,0.0,0.0,0.0,0.0,0.0,0.3
11605.192,0.0,0.0,0.0,0.0,0.0,0.3
11605.292,0.0,0.0,0.0,0.0,0.0,0.3
11605.395,0.0,0.0,0.0,0.0,0.0,0.3
11605.495,0.0,0.0,0.0,0.0,0.0,0.3
11605.591,0.0,0.0,0.0,0.0,0.0,0.3
11605.694,0.0,0.0,0.0,0.0,0.0,0.3
11605.791,0.0,0.0,0.0,0.0,0.0,0.3
11605.904,0.0,0.0,0.0,0.0,0.0,0.3
11605.991,0.0,0.0,0.0,0.0,0.0,0.3
11606.091,0.0,0.0,0.0,0.0,0.0,0.3
11606.191,0.0,0.0,0.0,0.0,0.0,0.3
11606.292,0.0,0.0,0.0,0.0,0.0,0.3
